gene_id	SRR518892
YDL130W-A	3.0
YDL131W	58.103
YDL132W	0.0
YDL133C-A	0.0
YDL133W	19.0
YDL134C	9.0
YDL135C	19.0
YDL136W	30.619
YDL137W	36.0
YDL138W	6.0
YDL139C	0.0
YDL140C	13.0
YDL141W	6.0
YDL142C	7.0
YDL143W	23.0
YDL144C	15.0
YDL145C	8.0
YDL146W	1.0
YDL147W	27.0
YDL148C	7.0
YDL149W	3.0
YDL150W	6.0
YDL151C	0.0
YDL152W	31.983
YDL153C	27.017
YDL154W	0.0
YDL155W	2.0
YDL156W	0.0
YDL157C	21.0
YDL158C	55.969
YDL159C-B	0.0
YDL159W	6.031
YDL159W-A	0.0
YDL160C	5.0
YDL160C-A	2.0
YDL161W	6.0
YDL162C	2.0
YDL163W	3.961
YDL164C	2.039
YDL165W	10.0
YDL166C	6.0
YDL167C	4.0
YDL168W	14.0
YDL169C	0.0
YDL170W	3.0
YDL171C	7.0
YDL172C	0.0
YDL173W	0.0
YDL174C	11.0
YDL175C	1.0
YDL176W	4.0
YDL177C	7.0
YDL178W	4.0
YDL179W	11.0
YDL180W	3.0
YDL181W	4.0
YDL182W	114.897
YDL183C	1.0
YDL184C	0.0
YDL185C-A	17.0
YDL185W	31.0
YDL186W	2.0
YDL187C	10.0
YDL188C	0.0
YDL189W	9.0
YDL190C	2.0
YDL191W	207.381
YDL192W	294.0
YDL193W	4.0
YDL194W	1.0
YDL195W	5.0
YDL196W	0.0
YDL197C	7.0
YDL198C	33.0
YDL199C	0.0
YDL200C	11.0
YDL201W	12.0
YDL202W	9.0
YDL203C	0.0
YDL204W	1.0
YDL205C	11.0
YDL206W	2.0
YDL207W	7.0
YDL208W	119.0
YDL209C	4.0
YDL210W	9.0
YDL211C	2.0
YDL212W	42.0
YDL213C	53.0
YDL214C	0.0
YDL215C	5.0
YDL216C	0.0
YDL217C	11.0
YDL218W	0.0
YDL219W	5.0
YDL220C	0.0
YDL221W	0.0
YDL222C	1.0
YDL223C	5.0
YDL224C	4.0
YDL225W	9.0
YDL226C	9.0
YDL227C	1.0
YDL228C	2.749
YDL229W	256.763
YDL230W	1.0
YDL231C	8.0
YDL232W	4.0
YDL233W	0.0
YDL234C	2.0
YDL235C	2.0
YDL236W	7.0
YDL237W	20.0
YDL238C	0.0
YDL239C	0.0
YDL240C-A	0.0
YDL240W	1.0
YDL241W	3.0
YDL242W	0.0
YDL243C	4.0
YDL244W	0.0
YDL245C	0.0
YDL246C	0.5
YDL247W	0.0
YDL247W-A	0.0
YDL248W	7.21
YDR001C	3.0
YDR002W	57.0
YDR003W	5.0
YDR003W-A	0.0
YDR004W	1.0
YDR005C	11.0
YDR006C	0.0
YDR007W	22.045
YDR008C	32.955
YDR009W	0.0
YDR010C	2.0
YDR011W	22.0
YDR012W	85.752
YDR013W	2.0
YDR014W	0.0
YDR014W-A	0.0
YDR015C	0.0
YDR016C	18.0
YDR017C	9.0
YDR018C	1.0
YDR019C	2.0
YDR020C	4.0
YDR021W	2.0
YDR022C	2.0
YDR023W	50.0
YDR024W	2.0
YDR025W	758.255
YDR026C	9.0
YDR027C	5.0
YDR028C	11.0
YDR029W	0.0
YDR030C	2.0
YDR031W	1.0
YDR032C	14.0
YDR033W	65.0
YDR034C	15.0
YDR034C-A	0.0
YDR034W-B	1.0
YDR035W	18.0
YDR036C	3.0
YDR037W	65.0
YDR038C	11.696
YDR039C	9.353
YDR040C	5.951
YDR041W	16.0
YDR042C	0.0
YDR043C	2.0
YDR044W	24.0
YDR045C	3.0
YDR046C	38.0
YDR047W	50.0
YDR048C	1.0
YDR049W	1.0
YDR050C	829.0
YDR051C	6.0
YDR052C	1.0
YDR053W	0.0
YDR054C	2.0
YDR055W	6.0
YDR056C	15.0
YDR057W	10.0
YDR058C	1.0
YDR059C	11.0
YDR060W	41.0
YDR061W	3.0
YDR062W	14.0
YDR063W	4.0
YDR064W	588.0
YDR065W	6.0
YDR066C	2.0
YDR067C	5.0
YDR068W	15.0
YDR069C	0.0
YDR070C	0.0
YDR071C	34.0
YDR072C	6.0
YDR073W	13.0
YDR074W	2.0
YDR075W	1.0
YDR076W	1.0
YDR077W	410.0
YDR078C	5.0
YDR079C-A	14.0
YDR079W	7.0
YDR080W	9.0
YDR081C	3.0
YDR082W	0.0
YDR083W	8.0
YDR084C	13.0
YDR085C	8.0
YDR086C	47.0
YDR087C	33.0
YDR088C	1.0
YDR089W	8.0
YDR090C	10.0
YDR091C	25.0
YDR092W	10.0
YDR093W	10.182
YDR094W	0.818
YDR095C	5.0
YDR096W	1.0
YDR097C	2.0
YDR098C	25.0
YDR099W	7.0
YDR100W	15.0
YDR101C	21.0
YDR102C	0.0
YDR103W	2.0
YDR104C	2.0
YDR105C	15.0
YDR106W	0.0
YDR107C	0.0
YDR108W	2.0
YDR109C	8.0
YDR110W	1.0
YDR111C	3.0
YDR112W	0.0
YDR113C	1.0
YDR114C	45.0
YDR115W	15.0
YDR116C	2.0
YDR117C	2.0
YDR118W	3.0
YDR118W-A	2.0
YDR119W	3.0
YDR119W-A	2.0
YDR120C	17.0
YDR121W	3.0
YDR122W	7.0
YDR123C	0.0
YDR124W	2.0
YDR125C	2.0
YDR126W	12.0
YDR127W	5.0
YDR128W	10.0
YDR129C	15.0
YDR130C	3.0
YDR131C	0.0
YDR132C	1.0
YDR133C	28.0
YDR135C	11.0
YDR136C	0.0
YDR137W	0.0
YDR138W	1.0
YDR139C	14.0
YDR140W	9.0
YDR141C	4.0
YDR142C	8.0
YDR143C	4.0
YDR144C	12.0
YDR145W	3.0
